RC1,OC1,DR1,RC3,OC3,DR3,RC4,OC4,DR4
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.487603306,0.106796117,0.188306308
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.338842975,0.194174757,0.101897524
0.347107438,0.262135922,0.072397516,0.396694215,0.106796117,0.138842517,0.388429752,0.106796117,0.188306308
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.487603306,0.13592233,0.188306308
0.446280992,0.485436893,0.072397516,0.578512397,0.194174757,0.138842517,0.570247934,0.194174757,0.188306308
0.247933884,0.32038835,0.05960623,0.32231405,0.13592233,0.138842517,0.314049587,0.13592233,0.188306308
0.446280992,0.766990291,0.00840269,0.47107438,0.398058252,0.086408785,0.462809917,0.398058252,0.11921246
0.446280992,0.242718447,0.05960623,0.537190083,0.106796117,0.138842517,0.52892562,0.106796117,0.188306308
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.380165289,0.194174757,0.188306308
0.347107438,0.495145631,0.036944993,0.454545455,0.194174757,0.11921246,0.446280992,0.194174757,0.161503754
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.570247934,0.165048544,0.188306308
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.429752066,0.223300971,0.188306308
0.297520661,0.417475728,0.026802555,0.297520661,0.194174757,0.101897524,0.289256198,0.194174757,0.138842517
0.396694215,0.291262136,0.017314937,0.512396694,0.165048544,0.086408785,0.504132231,0.165048544,0.11921246
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.165289256,0.13592233,0.263401277
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.636363636,0.13592233,0.138842517
0.247933884,0.27184466,0.072397516,0.297520661,0.106796117,0.138842517,0.289256198,0.106796117,0.221109984
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.338842975,0.165048544,0.138842517
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.446280992,0.194174757,0.11921246
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.314049587,0.165048544,0.263401277
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.570247934,0.165048544,0.221109984
0.396694215,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.504132231,0.165048544,0.221109984
0.297520661,1,0.072397516,0.388429752,0.281553398,0.138842517,0.380165289,0.281553398,0.221109984
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.47107438,0.194174757,0.138842517
0.396694215,0.67961165,0.036944993,0.454545455,0.165048544,0.11921246,0.446280992,0.165048544,0.188306308
0.446280992,0.446601942,0.047839388,0.578512397,0.165048544,0.11921246,0.570247934,0.165048544,0.188306308
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.32231405,0.106796117,0.221109984
0.446280992,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.504132231,0.165048544,0.221109984
0.297520661,0.533980583,0.086408785,0.388429752,0.194174757,0.161503754,0.380165289,0.194174757,0.263401277
0.446280992,0.349514563,0.017314937,0.578512397,0.13592233,0.086408785,0.570247934,0.13592233,0.138842517
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.107438017,0.13592233,0.221109984
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.487603306,0.106796117,0.221109984
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.338842975,0.194174757,0.11921246
0.347107438,0.359223301,0,0.454545455,0.223300971,0.072397516,0.446280992,0.223300971,0.11921246
0.347107438,0.262135922,0.072397516,0.396694215,0.106796117,0.138842517,0.388429752,0.106796117,0.221109984
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.487603306,0.13592233,0.221109984
0.446280992,0.485436893,0.072397516,0.578512397,0.194174757,0.138842517,0.570247934,0.194174757,0.221109984
0.247933884,0.32038835,0.05960623,0.32231405,0.13592233,0.138842517,0.314049587,0.13592233,0.221109984
0.446280992,0.766990291,0.00840269,0.47107438,0.398058252,0.086408785,0.462809917,0.398058252,0.138842517
0.446280992,0.242718447,0.05960623,0.537190083,0.106796117,0.138842517,0.52892562,0.106796117,0.221109984
0.743801653,0.631067961,0.072397516,0.966942149,0.165048544,0.138842517,0.958677686,0.165048544,0.221109984
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.380165289,0.194174757,0.221109984
0.347107438,0.495145631,0.036944993,0.454545455,0.194174757,0.11921246,0.446280992,0.194174757,0.188306308
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.570247934,0.165048544,0.221109984
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.429752066,0.223300971,0.221109984
0.297520661,0.417475728,0.026802555,0.297520661,0.194174757,0.101897524,0.289256198,0.194174757,0.161503754
0.396694215,0.291262136,0.017314937,0.512396694,0.165048544,0.086408785,0.504132231,0.165048544,0.138842517
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.170247934,0.13592233,0.188306308
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.641322314,0.13592233,0.101897524
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.343801653,0.194174757,0.101897524
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.360330579,0.165048544,0.11921246
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.451239669,0.194174757,0.086408785
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.319008264,0.165048544,0.188306308
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.376859504,0.223300971,0.086408785
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.33553719,0.106796117,0.161503754
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.575206612,0.165048544,0.161503754
0.396694215,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.509090909,0.165048544,0.161503754
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.385123967,0.13592233,0.161503754
0.297520661,1,0.072397516,0.388429752,0.281553398,0.138842517,0.385123967,0.281553398,0.161503754
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.476033058,0.194174757,0.101897524
0.247933884,0.514563107,0.072397516,0.32231405,0.194174757,0.138842517,0.319008264,0.194174757,0.161503754
0.396694215,0.67961165,0.036944993,0.454545455,0.165048544,0.11921246,0.451239669,0.165048544,0.138842517
0.446280992,0.446601942,0.047839388,0.578512397,0.165048544,0.11921246,0.575206612,0.165048544,0.138842517
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.327272727,0.106796117,0.161503754
0.446280992,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.509090909,0.165048544,0.161503754
0.446280992,0.349514563,0.017314937,0.578512397,0.13592233,0.086408785,0.575206612,0.13592233,0.101897524
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.27768595,0.106796117,0.161503754
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.112396694,0.13592233,0.161503754
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.492561983,0.106796117,0.161503754
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.343801653,0.194174757,0.086408785
0.347107438,0.359223301,0,0.454545455,0.223300971,0.072397516,0.451239669,0.223300971,0.086408785
0.347107438,0.262135922,0.072397516,0.396694215,0.106796117,0.138842517,0.39338843,0.106796117,0.161503754
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.492561983,0.13592233,0.161503754
0.446280992,0.485436893,0.072397516,0.578512397,0.194174757,0.138842517,0.575206612,0.194174757,0.161503754
0.247933884,0.32038835,0.05960623,0.32231405,0.13592233,0.138842517,0.319008264,0.13592233,0.161503754
0.446280992,0.766990291,0.00840269,0.47107438,0.398058252,0.086408785,0.467768595,0.398058252,0.101897524
0.446280992,0.242718447,0.05960623,0.537190083,0.106796117,0.138842517,0.533884298,0.106796117,0.161503754
0.743801653,0.631067961,0.072397516,0.966942149,0.165048544,0.138842517,0.963636364,0.165048544,0.161503754
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.385123967,0.194174757,0.161503754
0.347107438,0.495145631,0.036944993,0.454545455,0.194174757,0.11921246,0.451239669,0.194174757,0.138842517
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.575206612,0.165048544,0.161503754
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.434710744,0.223300971,0.161503754
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.170247934,0.13592233,0.221109984
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.641322314,0.13592233,0.11921246
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.343801653,0.194174757,0.11921246
0.247933884,0.27184466,0.072397516,0.297520661,0.106796117,0.138842517,0.294214876,0.106796117,0.188306308
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.343801653,0.165048544,0.11921246
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.360330579,0.165048544,0.138842517
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.451239669,0.194174757,0.101897524
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.319008264,0.165048544,0.221109984
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.376859504,0.223300971,0.101897524
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.33553719,0.106796117,0.188306308
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.575206612,0.165048544,0.188306308
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.385123967,0.13592233,0.188306308
0.297520661,1,0.072397516,0.388429752,0.281553398,0.138842517,0.385123967,0.281553398,0.188306308
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.476033058,0.194174757,0.11921246
0.247933884,0.514563107,0.072397516,0.32231405,0.194174757,0.138842517,0.319008264,0.194174757,0.188306308
0.396694215,0.67961165,0.036944993,0.454545455,0.165048544,0.11921246,0.451239669,0.165048544,0.161503754
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.327272727,0.106796117,0.188306308
0.446280992,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.509090909,0.165048544,0.188306308
0.297520661,0.533980583,0.086408785,0.388429752,0.194174757,0.161503754,0.385123967,0.194174757,0.221109984
0.446280992,0.349514563,0.017314937,0.578512397,0.13592233,0.086408785,0.575206612,0.13592233,0.11921246
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.27768595,0.106796117,0.188306308
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.112396694,0.13592233,0.188306308
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.492561983,0.106796117,0.188306308
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.343801653,0.194174757,0.101897524
0.347107438,0.359223301,0,0.454545455,0.223300971,0.072397516,0.451239669,0.223300971,0.101897524
0.347107438,0.262135922,0.072397516,0.396694215,0.106796117,0.138842517,0.39338843,0.106796117,0.188306308
0.446280992,0.485436893,0.072397516,0.578512397,0.194174757,0.138842517,0.575206612,0.194174757,0.188306308
0.247933884,0.32038835,0.05960623,0.32231405,0.13592233,0.138842517,0.319008264,0.13592233,0.188306308
0.446280992,0.766990291,0.00840269,0.47107438,0.398058252,0.086408785,0.467768595,0.398058252,0.11921246
0.446280992,0.242718447,0.05960623,0.537190083,0.106796117,0.138842517,0.533884298,0.106796117,0.188306308
0.743801653,0.631067961,0.072397516,0.966942149,0.165048544,0.138842517,0.963636364,0.165048544,0.188306308
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.385123967,0.194174757,0.188306308
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.575206612,0.165048544,0.188306308
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.434710744,0.223300971,0.188306308
0.297520661,0.417475728,0.026802555,0.297520661,0.194174757,0.101897524,0.294214876,0.194174757,0.138842517
0.396694215,0.291262136,0.017314937,0.512396694,0.165048544,0.086408785,0.509090909,0.165048544,0.11921246
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.661157025,0.116504854,0.086408785
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.363636364,0.174757282,0.086408785
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.363636364,0.145631068,0.086408785
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.380165289,0.145631068,0.101897524
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.338842975,0.145631068,0.161503754
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.396694215,0.203883495,0.072397516
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.355371901,0.087378641,0.138842517
0.396694215,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.52892562,0.145631068,0.138842517
0.297520661,1,0.072397516,0.388429752,0.281553398,0.138842517,0.404958678,0.262135922,0.138842517
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.495867769,0.174757282,0.086408785
0.396694215,0.67961165,0.036944993,0.454545455,0.165048544,0.11921246,0.47107438,0.145631068,0.11921246
0.446280992,0.446601942,0.047839388,0.578512397,0.165048544,0.11921246,0.595041322,0.145631068,0.11921246
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.347107438,0.087378641,0.138842517
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.297520661,0.087378641,0.138842517
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.132231405,0.116504854,0.138842517
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.363636364,0.174757282,0.072397516
0.347107438,0.359223301,0,0.454545455,0.223300971,0.072397516,0.47107438,0.203883495,0.072397516
0.347107438,0.262135922,0.072397516,0.396694215,0.106796117,0.138842517,0.41322314,0.087378641,0.138842517
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.512396694,0.116504854,0.138842517
0.446280992,0.766990291,0.00840269,0.47107438,0.398058252,0.086408785,0.487603306,0.378640777,0.086408785
0.446280992,0.242718447,0.05960623,0.537190083,0.106796117,0.138842517,0.553719008,0.087378641,0.138842517
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.404958678,0.174757282,0.138842517
0.347107438,0.495145631,0.036944993,0.454545455,0.194174757,0.11921246,0.47107438,0.174757282,0.11921246
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.190082645,0.097087379,0.161503754
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.661157025,0.097087379,0.086408785
0.247933884,0.27184466,0.072397516,0.297520661,0.106796117,0.138842517,0.314049587,0.067961165,0.138842517
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.363636364,0.126213592,0.086408785
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.380165289,0.126213592,0.101897524
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.47107438,0.155339806,0.072397516
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.338842975,0.126213592,0.161503754
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.396694215,0.184466019,0.072397516
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.595041322,0.126213592,0.138842517
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.495867769,0.155339806,0.086408785
0.446280992,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.52892562,0.126213592,0.138842517
0.297520661,0.533980583,0.086408785,0.388429752,0.194174757,0.161503754,0.404958678,0.155339806,0.161503754
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.297520661,0.067961165,0.138842517
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.512396694,0.067961165,0.138842517
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.363636364,0.155339806,0.072397516
0.347107438,0.359223301,0,0.454545455,0.223300971,0.072397516,0.47107438,0.184466019,0.072397516
0.347107438,0.262135922,0.072397516,0.396694215,0.106796117,0.138842517,0.41322314,0.067961165,0.138842517
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.512396694,0.097087379,0.138842517
0.743801653,0.631067961,0.072397516,0.966942149,0.165048544,0.138842517,0.983471074,0.126213592,0.138842517
0.347107438,0.495145631,0.036944993,0.454545455,0.194174757,0.11921246,0.47107438,0.155339806,0.11921246
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.595041322,0.126213592,0.138842517
0.297520661,0.417475728,0.026802555,0.297520661,0.194174757,0.101897524,0.314049587,0.155339806,0.101897524
0.396694215,0.291262136,0.017314937,0.512396694,0.165048544,0.086408785,0.52892562,0.126213592,0.086408785
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.20661157,0.116504854,0.161503754
0.247933884,0.27184466,0.072397516,0.297520661,0.106796117,0.138842517,0.330578512,0.087378641,0.138842517
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.396694215,0.145631068,0.101897524
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.487603306,0.174757282,0.072397516
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.41322314,0.203883495,0.072397516
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.371900826,0.087378641,0.138842517
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.611570248,0.145631068,0.138842517
0.396694215,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.545454545,0.145631068,0.138842517
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.421487603,0.116504854,0.138842517
0.247933884,0.514563107,0.072397516,0.32231405,0.194174757,0.138842517,0.355371901,0.174757282,0.138842517
0.446280992,0.446601942,0.047839388,0.578512397,0.165048544,0.11921246,0.611570248,0.145631068,0.11921246
0.446280992,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.545454545,0.145631068,0.138842517
0.446280992,0.349514563,0.017314937,0.578512397,0.13592233,0.086408785,0.611570248,0.116504854,0.086408785
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.314049587,0.087378641,0.138842517
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.148760331,0.116504854,0.138842517
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.52892562,0.087378641,0.138842517
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.52892562,0.116504854,0.138842517
0.446280992,0.766990291,0.00840269,0.47107438,0.398058252,0.086408785,0.504132231,0.378640777,0.086408785
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.611570248,0.145631068,0.138842517
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.47107438,0.203883495,0.138842517
0.396694215,0.291262136,0.017314937,0.512396694,0.165048544,0.086408785,0.545454545,0.145631068,0.086408785
0.247933884,0.368932039,0.086408785,0.173553719,0.13592233,0.161503754,0.20661157,0.097087379,0.161503754
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.67768595,0.097087379,0.086408785
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.380165289,0.155339806,0.086408785
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.380165289,0.126213592,0.086408785
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.396694215,0.126213592,0.101897524
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.355371901,0.126213592,0.161503754
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.41322314,0.184466019,0.072397516
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.371900826,0.067961165,0.138842517
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.421487603,0.097087379,0.138842517
0.247933884,0.514563107,0.072397516,0.32231405,0.194174757,0.138842517,0.355371901,0.155339806,0.138842517
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.363636364,0.067961165,0.138842517
0.297520661,0.533980583,0.086408785,0.388429752,0.194174757,0.161503754,0.421487603,0.155339806,0.161503754
0.198347107,0.436893204,0.072397516,0.115702479,0.13592233,0.138842517,0.148760331,0.097087379,0.138842517
0.347107438,0.300970874,0,0.347107438,0.194174757,0.072397516,0.380165289,0.155339806,0.072397516
0.396694215,0.359223301,0.05960623,0.495867769,0.13592233,0.138842517,0.52892562,0.097087379,0.138842517
0.446280992,0.485436893,0.072397516,0.578512397,0.194174757,0.138842517,0.611570248,0.155339806,0.138842517
0.247933884,0.32038835,0.05960623,0.32231405,0.13592233,0.138842517,0.355371901,0.097087379,0.138842517
0.743801653,0.631067961,0.072397516,0.966942149,0.165048544,0.138842517,1,0.126213592,0.138842517
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.421487603,0.155339806,0.138842517
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.47107438,0.184466019,0.138842517
0.297520661,0.417475728,0.026802555,0.297520661,0.194174757,0.101897524,0.330578512,0.155339806,0.101897524
0.495867769,0.233009709,0.017314937,0.644628099,0.13592233,0.086408785,0.628099174,0.155339806,0.086408785
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.330578512,0.213592233,0.086408785
0.347107438,0.427184466,0.026802555,0.363636364,0.165048544,0.101897524,0.347107438,0.184466019,0.101897524
0.347107438,0.349514563,0,0.454545455,0.194174757,0.072397516,0.438016529,0.213592233,0.072397516
0.247933884,0.689320388,0.086408785,0.32231405,0.165048544,0.161503754,0.305785124,0.184466019,0.161503754
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.561983471,0.184466019,0.138842517
0.396694215,0.485436893,0.072397516,0.512396694,0.165048544,0.138842517,0.495867769,0.184466019,0.138842517
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.371900826,0.155339806,0.138842517
0.297520661,1,0.072397516,0.388429752,0.281553398,0.138842517,0.371900826,0.300970874,0.138842517
0.396694215,0.504854369,0.017314937,0.479338843,0.194174757,0.086408785,0.462809917,0.213592233,0.086408785
0.396694215,0.67961165,0.036944993,0.454545455,0.165048544,0.11921246,0.438016529,0.184466019,0.11921246
0.446280992,0.446601942,0.047839388,0.578512397,0.165048544,0.11921246,0.561983471,0.184466019,0.11921246
0.297520661,0.310679612,0.05960623,0.330578512,0.106796117,0.138842517,0.314049587,0.126213592,0.138842517
0.297520661,0.533980583,0.086408785,0.388429752,0.194174757,0.161503754,0.371900826,0.213592233,0.161503754
0.247933884,0.27184466,0.072397516,0.280991736,0.106796117,0.138842517,0.26446281,0.126213592,0.138842517
0.495867769,0.242718447,0.05960623,0.495867769,0.106796117,0.138842517,0.479338843,0.126213592,0.138842517
0.446280992,0.485436893,0.072397516,0.578512397,0.194174757,0.138842517,0.561983471,0.213592233,0.138842517
0.247933884,0.32038835,0.05960623,0.32231405,0.13592233,0.138842517,0.305785124,0.155339806,0.138842517
0.446280992,0.242718447,0.05960623,0.537190083,0.106796117,0.138842517,0.520661157,0.126213592,0.138842517
0.297520661,0.514563107,0.072397516,0.388429752,0.194174757,0.138842517,0.371900826,0.213592233,0.138842517
0.347107438,0.495145631,0.036944993,0.454545455,0.194174757,0.11921246,0.438016529,0.213592233,0.11921246
0.446280992,0.485436893,0.072397516,0.578512397,0.165048544,0.138842517,0.561983471,0.184466019,0.138842517
0.347107438,0.660194175,0.072397516,0.438016529,0.223300971,0.138842517,0.421487603,0.242718447,0.138842517
0.297520661,0.417475728,0.026802555,0.297520661,0.194174757,0.101897524,0.280991736,0.213592233,0.101897524
0.396694215,0.291262136,0.017314937,0.512396694,0.165048544,0.086408785,0.495867769,0.184466019,0.086408785
0.347107438,0.349514563,0.017314937,0.347107438,0.194174757,0.086408785,0.330578512,0.233009709,0.086408785
0.247933884,0.27184466,0.072397516,0.297520661,0.106796117,0.138842517,0.280991736,0.145631068,0.138842517
0.347107438,0.368932039,0.00840269,0.347107438,0.165048544,0.086408785,0.330578512,0.203883495,0.086408785
0.347107438,0.359223301,0,0.380165289,0.223300971,0.072397516,0.363636364,0.262135922,0.072397516
0.297520661,0.310679612,0.05960623,0.338842975,0.106796117,0.138842517,0.32231405,0.145631068,0.138842517
0.297520661,0.388349515,0.072397516,0.388429752,0.13592233,0.138842517,0.371900826,0.174757282,0.138842517
