,ID,Scenario,alt,chosen,RC,OC,DR,fixation_trail,Freq_p_week,nationality,Gender,marital,age,experience_months,N_reject_order,Start_working_time,income,education 
63,11168,S2.3R,4,0,3300,16,500,19048,6,4,2,1,57,276,0,9,2,2
64,11168,S2.4R,1,0,2700,36,800,43338,6,4,2,1,57,276,0,9,2,2
65,11168,S2.4R,3,1,3500,14,500,43338,6,4,2,1,57,276,0,9,2,2
66,11168,S2.4R,4,0,3300,18,500,43338,6,4,2,1,57,276,0,9,2,2
67,11168,S2.2R,1,1,2700,36,800,41000,6,4,2,1,57,276,0,9,2,2
68,11168,S2.2R,3,0,3500,14,500,41000,6,4,2,1,57,276,0,9,2,2
69,11168,S2.2R,4,0,3400,18,500,41000,6,4,2,1,57,276,0,9,2,2
70,11168,S1.3R,1,1,2700,36,800,12402,6,4,2,1,57,276,0,9,2,2
71,11168,S1.3R,3,0,3500,14,500,12402,6,4,2,1,57,276,0,9,2,2
72,11168,S1.3R,4,0,3700,12,500,12402,6,4,2,1,57,276,0,9,2,2
73,111641,S2.4,1,1,3000,24,800,90420,7,4,2,1,67,156,1,7,2.5,2
74,111641,S2.4,3,0,3900,14,500,90420,7,4,2,1,67,156,1,7,2.5,2
75,111641,S2.4,4,0,3700,18,500,90420,7,4,2,1,67,156,1,7,2.5,2
76,111641,S1.4,1,1,3000,24,800,32372,7,4,2,1,67,156,1,7,2.5,2
77,111641,S1.4,3,0,3900,14,500,32372,7,4,2,1,67,156,1,7,2.5,2
78,111641,S1.4,4,0,4100,10,500,32372,7,4,2,1,67,156,1,7,2.5,2
79,111641,S1.1,1,1,3000,24,800,31976,7,4,2,1,67,156,1,7,2.5,2
80,111641,S1.1,3,0,3900,14,500,31976,7,4,2,1,67,156,1,7,2.5,2
81,111641,S1.1,4,0,4000,12,500,31976,7,4,2,1,67,156,1,7,2.5,2
82,111641,S2.1,1,1,3000,24,800,13000,7,4,2,1,67,156,1,7,2.5,2
83,111641,S2.1,3,0,3900,14,500,13000,7,4,2,1,67,156,1,7,2.5,2
84,111641,S2.1,4,0,3800,16,500,13000,7,4,2,1,67,156,1,7,2.5,2
85,111641,S1.2,1,1,3000,24,800,22468,7,4,2,1,67,156,1,7,2.5,2
86,111641,S1.2,3,0,3900,14,500,22468,7,4,2,1,67,156,1,7,2.5,2
87,111641,S1.2,4,0,4000,10,500,22468,7,4,2,1,67,156,1,7,2.5,2
88,111641,A1.3,1,1,3000,24,800,23408,7,4,2,1,67,156,1,7,2.5,2
89,111641,A1.3,3,0,3900,14,500,23408,7,4,2,1,67,156,1,7,2.5,2
90,111641,A1.3,4,0,3880,14,450,23408,7,4,2,1,67,156,1,7,2.5,2
91,111641,A1.2,1,1,3000,24,800,22990,7,4,2,1,67,156,1,7,2.5,2
92,111641,A1.2,3,0,3900,14,500,22990,7,4,2,1,67,156,1,7,2.5,2
93,111641,A1.2,4,0,3850,14,350,22990,7,4,2,1,67,156,1,7,2.5,2
94,111641,A1.4,1,1,3000,24,800,23970,7,4,2,1,67,156,1,7,2.5,2
95,111641,A1.4,3,0,3900,14,500,23970,7,4,2,1,67,156,1,7,2.5,2
96,111641,A1.4,4,0,3880,14,400,23970,7,4,2,1,67,156,1,7,2.5,2
97,11199,S2.3,1,1,2100,36,800,32588,7,4,2,1,50,156,4,7,2,2
98,11199,S2.3,3,0,2100,20,500,32588,7,4,2,1,50,156,4,7,2,2
99,11199,S2.3,4,0,1900,22,500,32588,7,4,2,1,50,156,4,7,2,2
100,11199,S1.1,1,1,2100,36,800,20988,7,4,2,1,50,156,4,7,2,2
101,11199,S1.1,3,0,2100,20,500,20988,7,4,2,1,50,156,4,7,2,2
102,11199,S1.1,4,0,2200,18,500,20988,7,4,2,1,50,156,4,7,2,2
103,11199,S2.2,1,1,2100,36,800,39424,7,4,2,1,50,156,4,7,2,2
104,11199,S2.2,3,0,2100,20,500,39424,7,4,2,1,50,156,4,7,2,2
105,11199,S2.2,4,0,2000,24,500,39424,7,4,2,1,50,156,4,7,2,2
106,11199,S1.4,1,0,2100,36,800,25730,7,4,2,1,50,156,4,7,2,2
107,11199,S1.4,3,0,2100,20,500,25730,7,4,2,1,50,156,4,7,2,2
108,11199,S1.4,4,1,2300,16,500,25730,7,4,2,1,50,156,4,7,2,2
109,11199,S2.1,1,0,2100,36,800,42206,7,4,2,1,50,156,4,7,2,2
110,11199,S2.1,3,0,2100,20,500,42206,7,4,2,1,50,156,4,7,2,2
111,11199,S2.1,4,1,2000,22,500,42206,7,4,2,1,50,156,4,7,2,2
112,11199,A1.3,1,1,2100,36,800,13702,7,4,2,1,50,156,4,7,2,2
113,11199,A1.3,3,0,2100,20,500,13702,7,4,2,1,50,156,4,7,2,2
114,11199,A1.3,4,0,2080,20,450,13702,7,4,2,1,50,156,4,7,2,2
115,11199,A1.1,1,1,2100,36,800,18318,7,4,2,1,50,156,4,7,2,2
116,11199,A1.1,3,0,2100,20,500,18318,7,4,2,1,50,156,4,7,2,2
117,11199,A1.1,4,0,2050,20,400,18318,7,4,2,1,50,156,4,7,2,2
118,11199,A1.4,1,1,2100,36,800,18096,7,4,2,1,50,156,4,7,2,2
119,11199,A1.4,3,0,2100,20,500,18096,7,4,2,1,50,156,4,7,2,2
120,11199,A1.4,4,0,2080,20,400,18096,7,4,2,1,50,156,4,7,2,2
121,111910,S2.3R,1,0,1500,28,550,23058,6,4,2,1,60,54,1,9,2.5,5
122,111910,S2.3R,3,0,1700,11,350,23058,6,4,2,1,60,54,1,9,2.5,5
123,111910,S2.3R,4,1,1500,13,350,23058,6,4,2,1,60,54,1,9,2.5,5
124,111910,S1.3R,1,0,1500,28,550,39013,6,4,2,1,60,54,1,9,2.5,5
125,111910,S1.3R,3,1,1700,11,350,39013,6,4,2,1,60,54,1,9,2.5,5
126,111910,S1.3R,4,0,1900,9,350,39013,6,4,2,1,60,54,1,9,2.5,5
127,111910,S1.1R,1,0,1500,28,550,21648,6,4,2,1,60,54,1,9,2.5,5
128,111910,S1.1R,3,0,1700,11,350,21648,6,4,2,1,60,54,1,9,2.5,5
129,111910,S1.1R,4,1,1800,9,350,21648,6,4,2,1,60,54,1,9,2.5,5
130,111910,S2.1R,1,0,1500,28,550,28346,6,4,2,1,60,54,1,9,2.5,5
131,111910,S2.1R,3,0,1700,11,350,28346,6,4,2,1,60,54,1,9,2.5,5
132,111910,S2.1R,4,1,1600,13,350,28346,6,4,2,1,60,54,1,9,2.5,5
133,111910,S1.2R,1,0,1500,28,550,31976,6,4,2,1,60,54,1,9,2.5,5
134,111910,S1.2R,3,1,1700,11,350,31976,6,4,2,1,60,54,1,9,2.5,5
135,111910,S1.2R,4,0,1800,7,350,31976,6,4,2,1,60,54,1,9,2.5,5
136,111910,A1.4R,1,0,1500,28,550,15282,6,4,2,1,60,54,1,9,2.5,5
137,111910,A1.4R,3,1,1700,11,350,15282,6,4,2,1,60,54,1,9,2.5,5
138,111910,A1.4R,4,0,1680,11,250,15282,6,4,2,1,60,54,1,9,2.5,5
139,111910,A1.3R,1,0,1500,28,550,15976,6,4,2,1,60,54,1,9,2.5,5
140,111910,A1.3R,3,1,1700,11,350,15976,6,4,2,1,60,54,1,9,2.5,5
141,111910,A1.3R,4,0,1680,11,300,15976,6,4,2,1,60,54,1,9,2.5,5
142,111910,A1.1R,1,0,1500,28,550,15820,6,4,2,1,60,54,1,9,2.5,5
143,111910,A1.1R,3,1,1700,11,350,15820,6,4,2,1,60,54,1,9,2.5,5
144,111910,A1.1R,4,0,1650,11,250,15820,6,4,2,1,60,54,1,9,2.5,5
145,111,A1.3R,1,0,1200,45,550,33530,6,4,2,2,56,54,0,7,3.5,6
146,111,A1.3R,3,0,700,14,350,33530,6,4,2,2,56,54,0,7,3.5,6
147,111,A1.3R,4,1,680,14,300,33530,6,4,2,2,56,54,0,7,3.5,6
148,111,A1.1R,1,0,1200,45,550,33946,6,4,2,2,56,54,0,7,3.5,6
149,111,A1.1R,3,1,700,14,350,33946,6,4,2,2,56,54,0,7,3.5,6
150,111,A1.1R,4,0,650,14,250,33946,6,4,2,2,56,54,0,7,3.5,6
151,111,A1.2R,1,0,1200,45,550,32934,6,4,2,2,56,54,0,7,3.5,6
152,111,A1.2R,3,1,700,14,350,32934,6,4,2,2,56,54,0,7,3.5,6
153,111,A1.2R,4,0,650,14,200,32934,6,4,2,2,56,54,0,7,3.5,6
154,111,A1.4R,1,0,1200,45,550,13990,6,4,2,2,56,54,0,7,3.5,6
155,111,A1.4R,3,1,700,14,350,13990,6,4,2,2,56,54,0,7,3.5,6
156,111,A1.4R,4,0,680,14,250,13990,6,4,2,2,56,54,0,7,3.5,6
157,111,S1.1R,1,0,1200,45,550,26364,6,4,2,2,56,54,0,7,3.5,6
158,111,S1.1R,3,1,700,14,350,26364,6,4,2,2,56,54,0,7,3.5,6
159,111,S1.1R,4,0,800,12,350,26364,6,4,2,2,56,54,0,7,3.5,6
160,111,S2.2R,1,0,1200,45,550,15250,6,4,2,2,56,54,0,7,3.5,6
161,111,S2.2R,3,1,700,14,350,15250,6,4,2,2,56,54,0,7,3.5,6
162,111,S2.2R,4,0,600,18,350,15250,6,4,2,2,56,54,0,7,3.5,6
163,111,S1.3R,1,0,1200,45,550,24514,6,4,2,2,56,54,0,7,3.5,6
164,111,S1.3R,3,1,700,14,350,24514,6,4,2,2,56,54,0,7,3.5,6
165,111,S1.3R,4,0,900,12,350,24514,6,4,2,2,56,54,0,7,3.5,6
166,111,S1.4R,1,0,1200,45,550,21436,6,4,2,2,56,54,0,7,3.5,6
167,111,S1.4R,3,1,700,14,350,21436,6,4,2,2,56,54,0,7,3.5,6
168,111,S1.4R,4,0,900,10,350,21436,6,4,2,2,56,54,0,7,3.5,6
169,111912,S2.3,1,0,1500,28,550,11834,6,4,2,2,27,54,0,7,2,2
170,111912,S2.3,3,0,1800,11,350,11834,6,4,2,2,27,54,0,7,2,2
171,111912,S2.3,4,1,1600,13,350,11834,6,4,2,2,27,54,0,7,2,2
172,111912,S1.2,1,1,1500,28,550,12408,6,4,2,2,27,54,0,7,2,2
173,111912,S1.2,3,0,1800,11,350,12408,6,4,2,2,27,54,0,7,2,2
174,111912,S1.2,4,0,1900,7,350,12408,6,4,2,2,27,54,0,7,2,2
175,111912,S2.4,1,0,1500,28,550,6454,6,4,2,2,27,54,0,7,2,2
176,111912,S2.4,3,0,1800,11,350,6454,6,4,2,2,27,54,0,7,2,2
177,111912,S2.4,4,1,1600,15,350,6454,6,4,2,2,27,54,0,7,2,2
178,111912,S2.2,1,1,1500,28,550,15238,6,4,2,2,27,54,0,7,2,2
179,111912,S2.2,3,0,1800,11,350,15238,6,4,2,2,27,54,0,7,2,2
180,111912,S2.2,4,0,1700,15,350,15238,6,4,2,2,27,54,0,7,2,2
181,111912,S1.3,1,1,1500,28,550,4852,6,4,2,2,27,54,0,7,2,2
182,111912,S1.3,3,0,1800,11,350,4852,6,4,2,2,27,54,0,7,2,2
183,111912,S1.3,4,0,2000,9,350,4852,6,4,2,2,27,54,0,7,2,2
184,111912,A1.1,1,1,1500,28,550,6924,6,4,2,2,27,54,0,7,2,2
185,111912,A1.1,3,0,1800,11,350,6924,6,4,2,2,27,54,0,7,2,2
186,111912,A1.1,4,0,1750,11,250,6924,6,4,2,2,27,54,0,7,2,2
187,111912,A1.2,1,1,1500,28,550,7492,6,4,2,2,27,54,0,7,2,2
188,111912,A1.2,3,0,1800,11,350,7492,6,4,2,2,27,54,0,7,2,2
189,111912,A1.2,4,0,1750,11,200,7492,6,4,2,2,27,54,0,7,2,2
190,111912,A1.4,1,1,1500,28,550,10000,6,4,2,2,27,54,0,7,2,2
191,111912,A1.4,3,0,1800,11,350,10000,6,4,2,2,27,54,0,7,2,2
192,111912,A1.4,4,0,1780,11,250,10000,6,4,2,2,27,54,0,7,2,2
193,111913,A1.3R,1,0,3000,25,600,11040,6,4,2,3,57,18,0,11,3.5,5
194,111913,A1.3R,3,1,3000,11,350,11040,6,4,2,3,57,18,0,11,3.5,5
195,111913,A1.3R,4,0,2980,11,300,11040,6,4,2,3,57,18,0,11,3.5,5
196,111913,A1.1R,1,0,3000,25,600,7976,6,4,2,3,57,18,0,11,3.5,5
197,111913,A1.1R,3,1,3000,11,350,7976,6,4,2,3,57,18,0,11,3.5,5
198,111913,A1.1R,4,0,2950,11,250,7976,6,4,2,3,57,18,0,11,3.5,5
199,111913,A1.2R,1,0,3000,25,600,8714,6,4,2,3,57,18,0,11,3.5,5
200,111913,A1.2R,3,1,3000,11,350,8714,6,4,2,3,57,18,0,11,3.5,5
201,111913,A1.2R,4,0,2950,11,200,8714,6,4,2,3,57,18,0,11,3.5,5
202,111913,A1.4R,1,0,3000,25,600,11444,6,4,2,3,57,18,0,11,3.5,5
203,111913,A1.4R,3,1,3000,11,350,11444,6,4,2,3,57,18,0,11,3.5,5
204,111913,A1.4R,4,0,2980,11,250,11444,6,4,2,3,57,18,0,11,3.5,5
205,111913,S2.4R,1,0,3000,25,600,5310,6,4,2,3,57,18,0,11,3.5,5
206,111913,S2.4R,3,1,3000,11,350,5310,6,4,2,3,57,18,0,11,3.5,5
207,111913,S2.4R,4,0,2800,15,350,5310,6,4,2,3,57,18,0,11,3.5,5
208,111913,S1.2R,1,0,3000,25,600,11484,6,4,2,3,57,18,0,11,3.5,5
209,111913,S1.2R,3,0,3000,11,350,11484,6,4,2,3,57,18,0,11,3.5,5
210,111913,S1.2R,4,1,3100,7,350,11484,6,4,2,3,57,18,0,11,3.5,5
211,111913,S2.1R,1,0,3000,25,600,12718,6,4,2,3,57,18,0,11,3.5,5
212,111913,S2.1R,3,1,3000,11,350,12718,6,4,2,3,57,18,0,11,3.5,5
213,111913,S2.1R,4,0,2900,13,350,12718,6,4,2,3,57,18,0,11,3.5,5
214,111913,S1.3R,1,0,3000,25,600,6610,6,4,2,3,57,18,0,11,3.5,5
215,111913,S1.3R,3,1,3000,11,350,6610,6,4,2,3,57,18,0,11,3.5,5
216,111913,S1.3R,4,0,3200,9,350,6610,6,4,2,3,57,18,0,11,3.5,5
217,112014,A1.4R,1,1,2100,31,900,33502,7,4,2,1,51,96,1,7,3.5,2
218,112014,A1.4R,3,0,2100,20,550,33502,7,4,2,1,51,96,1,7,3.5,2
219,112014,A1.4R,4,0,2080,20,450,33502,7,4,2,1,51,96,1,7,3.5,2
220,112014,A1.3R,1,1,2100,31,900,9794,7,4,2,1,51,96,1,7,3.5,2
221,112014,A1.3R,3,0,2100,20,550,9794,7,4,2,1,51,96,1,7,3.5,2
222,112014,A1.3R,4,0,2080,20,500,9794,7,4,2,1,51,96,1,7,3.5,2
223,112014,A1.2R,1,1,2100,31,900,9572,7,4,2,1,51,96,1,7,3.5,2
224,112014,A1.2R,3,0,2100,20,550,9572,7,4,2,1,51,96,1,7,3.5,2
225,112014,A1.2R,4,0,2050,20,400,9572,7,4,2,1,51,96,1,7,3.5,2
226,112014,A1.1R,1,1,2100,31,900,7924,7,4,2,1,51,96,1,7,3.5,2
227,112014,A1.1R,3,0,2100,20,550,7924,7,4,2,1,51,96,1,7,3.5,2
228,112014,A1.1R,4,0,2050,20,450,7924,7,4,2,1,51,96,1,7,3.5,2
229,112014,S1.4R,1,1,2100,31,900,12182,7,4,2,1,51,96,1,7,3.5,2
230,112014,S1.4R,3,0,2100,20,550,12182,7,4,2,1,51,96,1,7,3.5,2
231,112014,S1.4R,4,0,2300,16,550,12182,7,4,2,1,51,96,1,7,3.5,2
232,112014,S1.1R,1,1,2100,31,900,13596,7,4,2,1,51,96,1,7,3.5,2
233,112014,S1.1R,3,0,2100,20,550,13596,7,4,2,1,51,96,1,7,3.5,2
234,112014,S1.1R,4,0,2200,18,550,13596,7,4,2,1,51,96,1,7,3.5,2
235,112014,S1.2R,1,1,2100,31,900,11398,7,4,2,1,51,96,1,7,3.5,2
236,112014,S1.2R,3,0,2100,20,550,11398,7,4,2,1,51,96,1,7,3.5,2
237,112014,S1.2R,4,0,2200,16,550,11398,7,4,2,1,51,96,1,7,3.5,2
238,112014,S2.3R,1,1,2100,31,900,13562,7,4,2,1,51,96,1,7,3.5,2
239,112014,S2.3R,3,0,2100,20,550,13562,7,4,2,1,51,96,1,7,3.5,2
240,112014,S2.3R,4,0,1900,22,550,13562,7,4,2,1,51,96,1,7,3.5,2
241,112015,S1.2,1,1,2100,38,850,53392,6,4,2,1,48,96,1,7,2.5,1
242,112015,S1.2,3,0,2100,17,500,53392,6,4,2,1,48,96,1,7,2.5,1
243,112015,S1.2,4,0,2200,13,500,53392,6,4,2,1,48,96,1,7,2.5,1
244,112015,S1.1,1,1,2100,38,850,12064,6,4,2,1,48,96,1,7,2.5,1
245,112015,S1.1,3,0,2100,17,500,12064,6,4,2,1,48,96,1,7,2.5,1
246,112015,S1.1,4,0,2200,15,500,12064,6,4,2,1,48,96,1,7,2.5,1
247,112015,S2.2,1,0,2100,38,850,20774,6,4,2,1,48,96,1,7,2.5,1
248,112015,S2.2,3,0,2100,17,500,20774,6,4,2,1,48,96,1,7,2.5,1
249,112015,S2.2,4,1,2000,21,500,20774,6,4,2,1,48,96,1,7,2.5,1
250,112015,S1.4,1,1,2100,38,850,26610,6,4,2,1,48,96,1,7,2.5,1
251,112015,S1.4,3,0,2100,17,500,26610,6,4,2,1,48,96,1,7,2.5,1
252,112015,S1.4,4,0,2300,13,500,26610,6,4,2,1,48,96,1,7,2.5,1
253,112015,S2.4,1,0,2100,38,850,9088,6,4,2,1,48,96,1,7,2.5,1
254,112015,S2.4,3,0,2100,17,500,9088,6,4,2,1,48,96,1,7,2.5,1
255,112015,S2.4,4,1,1900,21,500,9088,6,4,2,1,48,96,1,7,2.5,1
256,112015,A1.4,1,1,2100,38,850,8008,6,4,2,1,48,96,1,7,2.5,1
257,112015,A1.4,3,0,2100,17,500,8008,6,4,2,1,48,96,1,7,2.5,1
258,112015,A1.4,4,0,2080,17,400,8008,6,4,2,1,48,96,1,7,2.5,1
259,112015,A1.1,1,1,2100,38,850,6608,6,4,2,1,48,96,1,7,2.5,1
260,112015,A1.1,3,0,2100,17,500,6608,6,4,2,1,48,96,1,7,2.5,1
261,112015,A1.1,4,0,2050,17,400,6608,6,4,2,1,48,96,1,7,2.5,1
262,112015,A1.2,1,1,2100,38,850,10850,6,4,2,1,48,96,1,7,2.5,1
263,112015,A1.2,3,0,2100,17,500,10850,6,4,2,1,48,96,1,7,2.5,1
264,112015,A1.2,4,0,2050,17,350,10850,6,4,2,1,48,96,1,7,2.5,1
265,112016,S1.2R,1,0,2100,37,900,32142,7,4,2,1,53,54,1,7,3.5,3
266,112016,S1.2R,3,0,2750,23,550,32142,7,4,2,1,53,54,1,7,3.5,3
267,112016,S1.2R,4,1,2850,19,550,32142,7,4,2,1,53,54,1,7,3.5,3
268,112016,S2.2R,1,1,2100,37,900,30962,7,4,2,1,53,54,1,7,3.5,3
269,112016,S2.2R,3,0,2750,23,550,30962,7,4,2,1,53,54,1,7,3.5,3
270,112016,S2.2R,4,0,2650,27,550,30962,7,4,2,1,53,54,1,7,3.5,3
271,112016,S2.4R,1,0,2100,37,900,28024,7,4,2,1,53,54,1,7,3.5,3
272,112016,S2.4R,3,0,2750,23,550,28024,7,4,2,1,53,54,1,7,3.5,3
273,112016,S2.4R,4,1,2550,27,550,28024,7,4,2,1,53,54,1,7,3.5,3
274,112016,S2.3R,1,0,2100,37,900,11172,7,4,2,1,53,54,1,7,3.5,3
275,112016,S2.3R,3,0,2750,23,550,11172,7,4,2,1,53,54,1,7,3.5,3
276,112016,S2.3R,4,1,2550,25,550,11172,7,4,2,1,53,54,1,7,3.5,3
277,112016,S1.1R,1,1,2100,37,900,17374,7,4,2,1,53,54,1,7,3.5,3
278,112016,S1.1R,3,0,2750,23,550,17374,7,4,2,1,53,54,1,7,3.5,3
279,112016,S1.1R,4,0,2850,21,550,17374,7,4,2,1,53,54,1,7,3.5,3
280,112016,A1.2R,1,1,2100,37,900,18074,7,4,2,1,53,54,1,7,3.5,3
281,112016,A1.2R,3,0,2750,23,550,18074,7,4,2,1,53,54,1,7,3.5,3
282,112016,A1.2R,4,0,2700,23,400,18074,7,4,2,1,53,54,1,7,3.5,3
283,112016,A1.4R,1,1,2100,37,900,22998,7,4,2,1,53,54,1,7,3.5,3
284,112016,A1.4R,3,0,2750,23,550,22998,7,4,2,1,53,54,1,7,3.5,3
285,112016,A1.4R,4,0,2730,23,450,22998,7,4,2,1,53,54,1,7,3.5,3
286,112016,A1.3R,1,1,2100,37,900,13018,7,4,2,1,53,54,1,7,3.5,3
287,112016,A1.3R,3,0,2750,23,550,13018,7,4,2,1,53,54,1,7,3.5,3
288,112016,A1.3R,4,0,2730,23,500,13018,7,4,2,1,53,54,1,7,3.5,3
289,112017,A1.3R,1,0,2100,27,550,27056,4,4,1,1,36,9,2,11,2.5,5
290,112017,A1.3R,3,1,2400,11,350,27056,4,4,1,1,36,9,2,11,2.5,5
291,112017,A1.3R,4,0,2380,11,300,27056,4,4,1,1,36,9,2,11,2.5,5
292,112017,A1.4R,1,0,2100,27,550,17020,4,4,1,1,36,9,2,11,2.5,5
293,112017,A1.4R,3,1,2400,11,350,17020,4,4,1,1,36,9,2,11,2.5,5
294,112017,A1.4R,4,0,2380,11,250,17020,4,4,1,1,36,9,2,11,2.5,5
295,112017,A1.1R,1,0,2100,27,550,16126,4,4,1,1,36,9,2,11,2.5,5
296,112017,A1.1R,3,1,2400,11,350,16126,4,4,1,1,36,9,2,11,2.5,5
297,112017,A1.1R,4,0,2350,11,250,16126,4,4,1,1,36,9,2,11,2.5,5
298,112017,A1.2R,1,0,2100,27,550,10182,4,4,1,1,36,9,2,11,2.5,5
299,112017,A1.2R,3,1,2400,11,350,10182,4,4,1,1,36,9,2,11,2.5,5
300,112017,A1.2R,4,0,2350,11,200,10182,4,4,1,1,36,9,2,11,2.5,5
301,112017,S1.1R,1,0,2100,27,550,9540,4,4,1,1,36,9,2,11,2.5,5
