ID,fixation_trail,chosen1,chosen3,chosen4
180,12.53884448,1,0,0
181,20.98446462,1,0,0
182,16.90578636,1,0,0
183,2.034214975,1,0,0
184,12.26100348,1,0,0
185,8.016140341,1,0,0
186,17.14938333,0,0,1
187,9.74505875,1,0,0
188,9.456578528,0,1,0
189,16.78257445,0,1,0
190,16.13569816,0,1,0
191,10.76190116,1,0,0
192,20.87584289,0,1,0
193,18.58531318,0,1,0
194,6.473781115,1,0,0
195,9.396840406,1,0,0
196,11.09501309,1,0,0
197,11.85292513,0,1,0
198,6.687114782,1,0,0
199,9.047116338,0,1,0
200,6.231925321,1,0,0
201,18.15262779,0,1,0
202,8.766467129,0,1,0
203,15.92624013,0,1,0
204,10.01195977,1,0,0
205,8.381371855,0,0,1
206,6.898734988,1,0,0
207,5.596930118,0,1,0
208,7.047537191,1,0,0
209,11.82552896,0,1,0
210,4.70374692,1,0,0
211,22.49245113,0,0,1
212,17.03531904,0,1,0
213,12.33554639,0,0,1
214,3.513402788,0,0,1
215,21.4357916,0,0,1
216,17.80188468,0,0,1
217,11.30917339,1,0,0
218,12.0530442,0,1,0
219,14.2120928,0,1,0
220,9.476530403,0,1,0
221,8.652654796,0,1,0
222,17.32460576,0,1,0
223,10.1419333,1,0,0
224,6.766826326,1,0,0
225,12.74791066,1,0,0
226,1.805014729,1,0,0
227,12.25141054,0,0,1
228,5.313027978,0,0,1
229,12.6583713,0,1,0
230,6.058029498,1,0,0
231,19.64941168,0,0,1
232,13.24348422,0,0,1
233,12.12960915,1,0,0
234,4.271655943,0,1,0
235,11.56510507,1,0,0
236,12.76925592,0,1,0
237,16.40398898,0,1,0
238,1.556896287,0,1,0
239,13.1633618,0,1,0
240,4.434656972,0,1,0
241,10.12964044,1,0,0
242,14.49875588,0,1,0
243,10.18070417,0,0,1
244,23.32264044,0,1,0
245,38.25572279,0,1,0
246,9.994571634,1,0,0
247,18.64194045,1,0,0
248,15.7189029,1,0,0
249,11.16170566,0,1,0
250,16.70404879,0,0,1
251,10.27014332,1,0,0
252,6.883285675,0,1,0
253,19.1172447,0,0,1
254,11.7134479,1,0,0
255,18.17044471,0,0,1
256,23.23265912,0,1,0
257,17.53151504,0,1,0
258,22.86108706,0,1,0
259,16.22374721,0,1,0
260,17.20082596,0,1,0
261,1.486309723,0,1,0
262,12.33285316,0,1,0
263,15.26231195,0,1,0
264,10.94733194,0,1,0
265,9.321691344,1,0,0
266,9.272192658,0,1,0
267,10.77251581,1,0,0
268,16.10430673,0,0,1
269,9.120361678,0,1,0
270,2.571265974,1,0,0
271,10.87160733,0,1,0
272,15.08478511,1,0,0
273,10.83460503,1,0,0
274,6.626523552,0,1,0
275,21.3988768,0,1,0
276,10.1545824,1,0,0
277,10.60538558,0,1,0
278,20.19650123,0,1,0
279,23.80254217,0,0,1
280,19.19689747,0,0,1
281,13.91077161,0,0,1
282,17.82263985,0,0,1
283,1.489684882,0,1,0
284,12.67391797,0,0,1
285,12.36842036,0,0,1
286,4.420926342,0,1,0
287,12.2582858,1,0,0
288,21.96522763,0,0,1
289,9.897176325,0,1,0
290,11.5615703,1,0,0
291,21.17868686,0,1,0
292,17.97339888,0,0,1
293,14.21181631,1,0,0
294,10.18554561,1,0,0
295,16.43494273,0,0,1
296,9.945646277,0,1,0
297,12.24206231,1,0,0
298,3.025584995,1,0,0
299,11.0150174,1,0,0
300,6.738717898,1,0,0
301,18.79997755,0,0,1
302,13.50174708,0,0,1
303,12.25677696,1,0,0
304,13.18091594,1,0,0
305,13.85921138,0,1,0
306,10.35414553,0,1,0
307,4.477383915,0,1,0
308,11.10080373,1,0,0
309,12.31079749,0,0,1
310,10.79560591,1,0,0
311,17.26154348,0,1,0
312,13.25798471,1,0,0
313,22.46163124,0,0,1
314,15.38495006,1,0,0
315,11.41128483,1,0,0
316,19.85043931,0,0,1
317,21.71775665,1,0,0
318,2.863591174,1,0,0
319,15.45989332,0,1,0
320,12.50450841,0,0,1
